raw_text,rating,char_len,word_count,lang,clean_text
"Ткань не очень. Цепляется за все, что можно и  из кофты появляются затяжки.",neautral,75,13,ru,"ткань не очень. цепляется за все, что можно и из кофты появляются затяжки."
"Так себе, выглядит очень дёшево, лучше доплатить и купить качественную вещь",neautral,75,11,ru,"так себе, выглядит очень дёшево, лучше доплатить и купить качественную вещь"
"обычные колготки, только теплые и без носка. ожидала все-таки леггинсы",neautral,70,10,ru,"обычные колготки, только теплые и без носка. ожидала все-таки леггинсы"
"фасон соответствует фото,а вот объёмы кофты малы",neautral,48,7,ru,"фасон соответствует фото,а вот объёмы кофты малы"
"товар не пришел , деньги вернули.",neautral,33,6,ru,"товар не пришел , деньги вернули."
"пришли колготки быстро, но, качество разочаровало... Разводы и зацепки, которые сильно видны на черных капронках. Муж говорит что если не знать на что смотреть- не видно. Но девочки то всё заметят! Тем более при дневном свете. Врятле одену их. Очень жаль, а так огонь колготочки... были бы...",neautral,292,47,ru,"пришли колготки быстро, но, качество разочаровало... разводы и зацепки, которые сильно видны на черных капронках. муж говорит что если не знать на что смотреть- не видно. но девочки то всё заметят! тем более при дневном свете. врятле одену их. очень жаль, а так огонь колготочки... были бы..."
"Заказ пришёл не полный, тянули больше трёх месяцев. Продавец дал левый трек. Деньги вернул.  Сам бюст обычный.",neautral,110,17,ru,"заказ пришёл не полный, тянули больше трёх месяцев. продавец дал левый трек. деньги вернул. сам бюст обычный."
"На параметры 67-90 взяла S, немного маловата, лучше бы смотрелась если бы взяла M",neautral,81,14,ru,"на параметры 67-90 взяла s, немного маловата, лучше бы смотрелась если бы взяла m"
мала. опять же размеры не соответствуют,neautral,39,6,ru,мала. опять же размеры не соответствуют
Очень маленькая (( размер М,neautral,27,5,ru,очень маленькая (( размер м
"товар не пришёл.открыла

 спор.деньги вернули полностью,без обмана.спасибо продавцу",neautral,85,8,ru,"товар не пришёл.открыла спор.деньги вернули полностью,без обмана.спасибо продавцу"
ожидали что куртка будет длиннее..,neautral,34,5,ru,ожидали что куртка будет длиннее..
"костюм красивый,размер подошел,спасибо! Почему цвет не такой как на девушке и гофры нет.Очень хотелось точно такой как на девушке!!!",neautral,132,19,ru,"костюм красивый,размер подошел,спасибо! почему цвет не такой как на девушке и гофры нет.очень хотелось точно такой как на девушке!!!"
ткань ужасная(((,neautral,16,2,ru,ткань ужасная(((
так себе!Нужно иметь идеальную форму груди!Сняла балл за то что одна чашечка сильно измята и шнурок с браком!,neautral,109,18,ru,так себе!нужно иметь идеальную форму груди!сняла балл за то что одна чашечка сильно измята и шнурок с браком!
"В целом неплохо, но очень много ниток торчит и затяжки везде",neautral,60,11,ru,"в целом неплохо, но очень много ниток торчит и затяжки везде"
"Водолазка красивого цвета, по размеру подошла. но спереди были 2 затяжечки, одна на груди и когда надеваешь затяжками вперед, то ее очень заметно..(( хорошо, что кофту можно носить любой стороной т.к она одинаковая, поэтому если надеть затяжками назад, то их не так заметно...",neautral,276,43,ru,"водолазка красивого цвета, по размеру подошла. но спереди были 2 затяжечки, одна на груди и когда надеваешь затяжками вперед, то ее очень заметно..(( хорошо, что кофту можно носить любой стороной т.к она одинаковая, поэтому если надеть затяжками назад, то их не так заметно..."
"Так всё хорошо. Есть не большой запах, после стирки исчез. И материал сплошная синтетика. Ожидала лучшего",neautral,105,16,ru,"так всё хорошо. есть не большой запах, после стирки исчез. и материал сплошная синтетика. ожидала лучшего"
"Вододазка синтетика, рукава короткие, на мой 44 подходит с рукавами 3/4. Кроме рукавов все вроде соответствует описанию, беру не первый раз, тёплая, приятная к телу! Рекомендую!",neautral,177,26,ru,"вододазка синтетика, рукава короткие, на мой 44 подходит с рукавами 3 4. кроме рукавов все вроде соответствует описанию, беру не первый раз, тёплая, приятная к телу! рекомендую!"
"кофточка не плохая, но пришла с дыркой(",neautral,39,7,ru,"кофточка не плохая, но пришла с дыркой("
"Качество не очень,нитки торчат",neautral,30,4,ru,"качество не очень,нитки торчат"
"Коротковаты немного, ширинка висит. И одинаково что спереди, что сзади. ",neautral,72,10,ru,"коротковаты немного, ширинка висит. и одинаково что спереди, что сзади."
"Слишком жуткий запах , а так нормально.",neautral,39,7,ru,"слишком жуткий запах , а так нормально."
"Платье на троечку , рукава , низ , воротник не обверложенные. Очень тонкое .",neautral,76,14,ru,"платье на троечку , рукава , низ , воротник не обверложенные. очень тонкое ."
"Синтетика, но швы ровные. Надпись только для ручной стирки",neautral,58,9,ru,"синтетика, но швы ровные. надпись только для ручной стирки"
"Платье-- откровенная дешёвка! Длинное-- это нормально, но оно колючее внутри и смотрится на 300 рублей. Размер М в груди очень узко.Заказала три платья и продавец послал их по отдельности. Это платье шло месяц, трек не отслеживался. На сообщения продавец начал реагировать только после того, как открыла спор. Размерная сетка не соответствует. Это платье М-- узкое, а другое S-- велико!!! НЕ рекомендую заказывать.  А те, кто расхваливает этот ""наряд"" видимо имеют очень низкий уровень притязаний (ничего личного).",neautral,514,76,ru,"платье-- откровенная дешёвка! длинное-- это нормально, но оно колючее внутри и смотрится на 300 рублей. размер м в груди очень узко.заказала три платья и продавец послал их по отдельности. это платье шло месяц, трек не отслеживался. на сообщения продавец начал реагировать только после того, как открыла спор. размерная сетка не соответствует. это платье м-- узкое, а другое s-- велико!!! не рекомендую заказывать. а те, кто расхваливает этот ""наряд"" видимо имеют очень низкий уровень притязаний (ничего личного)."
"качество не очень, хотя за такую цену лучше и не будет",neautral,54,11,ru,"качество не очень, хотя за такую цену лучше и не будет"
"Форма чашечки совсем не соответствует той, что на картинке, цвет соответствует, есть запах синтетики",neautral,100,14,ru,"форма чашечки совсем не соответствует той, что на картинке, цвет соответствует, есть запах синтетики"
Шорты не соответствуют размеру!,neautral,31,4,ru,шорты не соответствуют размеру!
"Футболка в целом не плохая, шла месяц до Урала. Но шов оказался спереди, вернули сразу деньги",neautral,93,16,ru,"футболка в целом не плохая, шла месяц до урала. но шов оказался спереди, вернули сразу деньги"
"Ткань неплохая, но на грудь 83 туговато, этот товар надо было разместить в разделе с детской одеждой.  Лямки у топа плохие уже при примерке заметила растянуты резинки с 2х сторон",neautral,178,30,ru,"ткань неплохая, но на грудь 83 туговато, этот товар надо было разместить в разделе с детской одеждой. лямки у топа плохие уже при примерке заметила растянуты резинки с 2х сторон"
Размер для S слишком велик.,neautral,27,5,ru,размер для s слишком велик.
качество плохое матерьяла...и размер неподошел..,neautral,48,5,ru,качество плохое матерьяла...и размер неподошел..
"На хлопок не похоже, нитки торчат. размер не соответствует, нужно брать  на 2-3 размера больше.",neautral,95,15,ru,"на хлопок не похоже, нитки торчат. размер не соответствует, нужно брать на 2-3 размера больше."
"На фото лучше, рукава очень короткие",neautral,36,6,ru,"на фото лучше, рукава очень короткие"
"Маломерка, ткань синтетика. 2XL на 48 размер еле налезла. Шла больше 2 месяцев.",neautral,79,13,ru,"маломерка, ткань синтетика. 2xl на 48 размер еле налезла. шла больше 2 месяцев."
"шарф в зацепках , тонковат",neautral,26,5,ru,"шарф в зацепках , тонковат"
"рубашка совсем не как на картинке, очень жалею, не стоит своих денег совсем, ещё и пахнет отвратительно, плюс великовата и сильно старит, так себе товар",neautral,152,25,ru,"рубашка совсем не как на картинке, очень жалею, не стоит своих денег совсем, ещё и пахнет отвратительно, плюс великовата и сильно старит, так себе товар"
за то что товар отправил в другой город и только через спор вернул деньги,neautral,73,14,ru,за то что товар отправил в другой город и только через спор вернул деньги
